Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
John_Tan_Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.6,USD,S3 Standard storage (1 TB per month)
John_Tan_Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
John_Tan_Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,2518.1,30217.2,USD,"Operating system (Linux), Quantity (2), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (2 TB), Instance type (c5.12xlarge), Provisioning IOPS io1 (1000)"
John_Tan_Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2487.572,29850.86,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront), Additional backup storage (10 TB)"
John_Tan_Initial_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,73.81,885.72,USD,Number of Application Load Balancers (2)
John_Tan_Initial_Cost_Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,78.93,947.16,USD,Number of NAT Gateways (1)
John_Tan_Initial_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,1893.11,22717.32,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (2 TB), Instance type (t3.2xlarge), Provisioning IOPS io1 (1000)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
